Date,Open,High,Low,Close,Adj Close,Volume
2015-10-23,792.000000,805.349976,792.000000,800.049988,753.185669,124474
2015-10-26,800.000000,808.799988,800.000000,807.049988,759.775574,47932
2015-10-27,807.000000,813.250000,799.500000,811.400024,763.870911,49230
2015-10-28,812.000000,818.700012,807.900024,817.400024,769.519409,50728
2015-10-29,815.000000,817.500000,799.150024,801.549988,754.597778,63678
2015-10-30,802.000000,810.500000,794.349976,801.849976,754.880249,73196
2015-11-02,801.000000,804.900024,792.000000,801.250000,754.315430,59385
2015-11-03,802.750000,808.150024,801.099976,803.849976,756.763123,57494
2015-11-04,806.000000,818.500000,800.849976,802.549988,755.539307,92019
2015-11-05,802.950012,811.000000,798.200012,803.750000,756.668945,173831
2015-11-06,805.000000,807.000000,796.500000,798.849976,752.056030,40093
2015-11-09,798.849976,806.099976,784.000000,800.549988,753.656433,98828
2015-11-10,808.000000,809.000000,793.950012,803.450012,756.386475,60733
2015-11-13,798.000000,798.950012,794.000000,797.049988,750.361389,74451
2015-11-16,797.000000,802.650024,779.000000,784.750000,738.781921,207635
2015-11-17,786.000000,800.000000,782.250000,797.099976,750.408508,124294
2015-11-18,797.099976,805.900024,790.049988,792.500000,746.078003,66345
2015-11-19,795.500000,802.200012,792.750000,794.500000,747.960815,66732
2015-11-20,794.000000,803.250000,794.000000,798.000000,751.255798,69076
2015-11-23,798.000000,800.900024,789.000000,792.250000,745.842651,28898
2015-11-24,794.000000,814.500000,791.599976,811.400024,763.870911,133243
2015-11-26,813.000000,821.750000,808.150024,813.099976,765.471313,64457
2015-11-27,811.549988,820.000000,808.099976,817.500000,769.613586,56383
2015-11-30,812.250000,825.599976,806.799988,809.450012,762.035034,66307
2015-12-01,811.500000,836.400024,811.500000,833.250000,784.440918,146327
2015-12-02,835.000000,836.000000,822.900024,829.349976,780.769409,60455
2015-12-03,828.000000,828.049988,813.250000,817.200012,769.331116,61723
2015-12-04,817.000000,825.000000,807.000000,815.349976,767.589478,159133
