Date,Open,High,Low,Close,Adj Close,Volume
2015-10-23,259.091003,262.726990,259.000000,260.135986,245.185211,389855
2015-10-26,261.817993,263.364014,258.000000,259.273010,244.371811,336472
2015-10-27,258.817993,259.908997,256.635986,257.908997,243.086166,236226
2015-10-28,254.544998,254.727005,244.863998,246.817993,232.632614,823599
2015-10-29,248.091003,249.272995,245.727005,246.772995,232.590195,410657
2015-10-30,247.500000,254.182007,245.908997,251.817993,237.345230,2185082
2015-11-02,251.817993,255.727005,251.317993,253.908997,239.316071,828738
2015-11-03,255.363998,257.000000,252.363998,253.772995,239.187897,446536
2015-11-04,255.455002,255.544998,247.727005,248.544998,234.260376,491536
2015-11-05,247.908997,248.544998,244.363998,245.591003,231.476166,637970
2015-11-06,245.363998,245.363998,241.091003,243.136002,229.162262,774490
2015-11-09,236.272995,240.817993,232.863998,239.000000,225.263947,1088756
2015-11-10,238.727005,242.182007,237.363998,238.544998,224.835098,706913
2015-11-13,236.817993,238.727005,235.863998,237.908997,224.235657,849646
2015-11-16,237.500000,243.863998,236.272995,242.908997,228.948288,744720
2015-11-17,246.544998,247.500000,241.000000,243.044998,229.076462,1361318
2015-11-18,242.727005,243.955002,235.908997,236.591003,222.993408,810945
2015-11-19,239.182007,243.636002,239.091003,241.955002,228.049118,544517
2015-11-20,240.772995,245.455002,239.591003,240.727005,226.891693,568740
2015-11-23,242.727005,243.317993,236.363998,241.000000,227.149002,1152936
2015-11-24,240.000000,241.272995,236.363998,239.500000,225.735229,638078
2015-11-26,239.955002,243.317993,239.544998,240.363998,226.549561,363581
2015-11-27,241.044998,245.863998,240.500000,245.091003,231.004898,654340
2015-11-30,244.000000,252.000000,244.000000,249.182007,234.860764,628624
2015-12-01,250.000000,251.500000,248.182007,248.727005,234.431900,568288
2015-12-02,249.817993,250.000000,244.363998,245.727005,231.604355,394313
2015-12-03,244.908997,245.455002,240.317993,241.817993,227.919983,727197
2015-12-04,239.727005,240.863998,236.772995,237.682007,224.021698,697264
2015-12-07,240.000000,240.500000,237.455002,239.272995,225.521271,508871
2015-12-08,238.817993,238.817993,236.136002,237.682007,224.021698,891337
2015-12-09,237.817993,238.182007,234.727005,235.908997,222.350601,1213012
2015-12-10,237.272995,238.136002,232.682007,235.136002,221.622025,1221990
2015-12-11,236.363998,237.272995,225.000000,226.682007,213.653900,4104641
2015-12-14,225.908997,229.000000,223.182007,226.317993,213.310806,1646966
2015-12-15,225.908997,225.908997,220.863998,223.955002,211.083618,1594628
2015-12-16,225.363998,230.455002,221.544998,229.091003,215.924454,1955493
2015-12-17,231.591003,232.091003,227.636002,230.044998,216.823608,4449713
2015-12-18,230.000000,230.000000,226.591003,227.363998,214.296707,1457242
2015-12-21,228.182007,235.727005,227.544998,234.727005,221.236542,1953662
2015-12-22,233.682007,239.544998,231.817993,235.908997,222.350601,1927512
2015-12-23,236.272995,238.955002,235.591003,238.000000,224.321426,1435881
2015-12-24,238.636002,239.544998,233.636002,234.363998,220.894379,740385
2015-12-28,235.272995,240.817993,235.272995,240.136002,226.334686,1325799
2015-12-29,240.363998,242.272995,237.727005,241.091003,227.234787,947667
2015-12-30,239.091003,240.908997,238.272995,239.182007,225.435486,1478728
2015-12-31,239.682007,239.863998,236.591003,237.682007,224.021698,1035934
2016-01-01,237.272995,239.544998,234.636002,239.091003,225.349731,1100107
2016-01-04,239.000000,239.000000,231.591003,232.317993,218.966003,1446814
2016-01-05,234.544998,234.544998,228.772995,233.408997,219.994263,1436119
2016-01-06,233.091003,233.272995,226.955002,227.363998,214.296707,2325416
2016-01-07,223.636002,225.272995,220.000000,224.544998,211.639725,1158731
2016-01-08,223.408997,225.227005,221.817993,222.682007,209.883820,857874
2016-01-11,220.682007,221.682007,216.455002,217.727005,205.213577,1138570
2016-01-12,218.272995,219.955002,214.272995,215.317993,202.943024,1832112
2016-01-13,216.636002,220.682007,210.091003,217.091003,204.614105,1257381
2016-01-14,213.544998,218.000000,210.863998,213.908997,201.615021,1226006
2016-01-15,214.544998,215.317993,201.817993,204.136002,192.403671,1136151
2016-01-18,204.136002,207.863998,198.000000,202.455002,190.819290,1162675
2016-01-19,204.544998,209.772995,204.317993,208.000000,196.045624,786600
2016-01-20,205.272995,205.455002,200.182007,203.772995,192.061539,677194
2016-01-21,205.455002,212.317993,203.817993,205.636002,193.817474,1220343
2016-01-22,211.817993,213.544998,209.091003,211.591003,199.430237,983397
2016-01-25,213.636002,216.772995,213.000000,214.682007,202.343582,901744
2016-01-27,216.363998,217.363998,213.363998,215.408997,203.028793,691513
2016-01-28,216.363998,217.591003,210.136002,211.772995,199.601761,925578
2016-01-29,196.363998,212.636002,196.363998,209.182007,197.159683,3319012
2016-02-01,206.955002,208.182007,196.272995,197.408997,186.063309,1560296
2016-02-02,198.182007,199.591003,190.908997,191.455002,180.451492,2063892
2016-02-03,188.636002,189.544998,184.408997,185.544998,174.881165,1393870
2016-02-04,188.182007,188.727005,182.500000,185.500000,174.838745,1550453
2016-02-05,186.363998,191.636002,185.317993,190.182007,179.251663,1630035
2016-02-08,191.817993,195.817993,187.455002,189.591003,178.694626,3064898
2016-02-09,185.772995,192.136002,182.817993,190.272995,179.337433,1956911
2016-02-10,185.182007,190.363998,183.727005,188.317993,177.494781,4931302
2016-02-11,185.455002,188.091003,179.955002,181.227005,170.811356,4750452
2016-02-12,180.000000,180.317993,173.272995,176.544998,166.398422,5277637
2016-02-15,177.000000,188.317993,176.363998,184.908997,174.281723,3209162
2016-02-16,187.817993,189.091003,177.544998,178.908997,168.626556,4847299
2016-02-17,178.182007,179.182007,171.636002,173.363998,163.400253,4115997
2016-02-18,176.727005,180.908997,175.636002,178.272995,168.027100,3451533
2016-02-19,178.091003,183.136002,177.544998,180.500000,170.126114,1591070
2016-02-22,180.000000,182.908997,178.636002,180.408997,170.040344,2505798
2016-02-23,181.544998,181.636002,173.091003,174.636002,164.599152,2299933
2016-02-24,172.000000,173.727005,169.000000,170.044998,160.272018,2984462
2016-02-25,170.908997,171.772995,165.091003,166.682007,157.102295,3532167
2016-02-26,167.863998,169.044998,164.363998,168.044998,158.386963,1710141
2016-02-29,168.182007,177.908997,165.182007,172.727005,162.799866,3315043
2016-03-01,177.363998,187.908997,176.182007,186.455002,175.738861,2446637
2016-03-02,191.817993,201.136002,191.272995,200.182007,188.676941,3431049
2016-03-03,198.636002,200.136002,194.682007,198.091003,186.706116,2540404
2016-03-04,201.272995,203.908997,199.000000,200.455002,188.934235,1447601
2016-03-08,200.772995,200.772995,194.863998,197.136002,185.806000,1304438
2016-03-09,193.636002,198.000000,191.000000,196.636002,185.334747,1283411
2016-03-10,197.817993,198.772995,195.044998,195.863998,184.607101,1224661
2016-03-11,195.363998,198.636002,193.272995,194.363998,183.193329,822347
2016-03-14,198.272995,202.317993,198.272995,201.544998,189.961609,6579941
2016-03-15,202.817993,204.363998,200.544998,201.227005,189.661880,923140
2016-03-16,200.182007,206.636002,198.636002,205.863998,194.032349,1255525
2016-03-17,209.091003,214.000000,204.591003,206.863998,194.974884,1951419
2016-03-18,207.727005,210.091003,205.682007,209.408997,197.373627,2006752
2016-03-21,211.817993,214.000000,210.455002,213.455002,201.187103,2004116
2016-03-22,214.000000,214.000000,209.727005,212.455002,200.244568,911959
2016-03-23,210.908997,213.636002,209.908997,213.000000,200.758240,684299
2016-03-28,213.544998,213.544998,203.455002,204.772995,193.004074,993226
2016-03-29,203.817993,206.363998,202.000000,203.044998,191.375412,924202
2016-03-30,207.136002,217.182007,206.363998,215.863998,203.457642,1132813
2016-03-31,216.363998,219.091003,212.408997,215.044998,202.685699,1603972
