Date,Open,High,Low,Close,Adj Close,Volume
2015-12-15,850.000000,859.333008,843.666992,855.333008,787.885559,371427
2015-12-16,860.000000,865.700012,851.400024,854.132996,786.780212,345070
2015-12-17,860.000000,866.132996,854.966980,864.567017,796.391418,343681
2015-12-18,863.200012,872.299988,856.732971,858.732971,791.017334,411403
2015-12-21,858.666992,865.267029,856.666992,859.932983,792.122803,207544
2015-12-22,861.333008,865.267029,850.666992,853.333008,786.043213,331210
2015-12-23,857.400024,866.132996,856.000000,861.966980,793.996460,256528
2015-12-24,862.700012,868.000000,858.333008,863.000000,794.947937,214203
2015-12-28,863.533020,867.333008,859.333008,862.700012,794.671570,148945
2015-12-29,866.666992,869.900024,857.666992,859.533020,791.754333,200077
2015-12-30,863.333008,865.900024,854.232971,856.200012,788.684204,242976
2015-12-31,858.000000,860.000000,849.000000,850.432983,783.371948,275514
2016-01-01,850.666992,860.666992,848.533020,859.033020,791.293823,248667
2016-01-04,860.000000,860.833008,835.000000,836.900024,770.906128,413508
2016-01-05,843.333008,846.000000,835.833008,838.232971,772.133911,313660
2016-01-06,840.000000,840.666992,824.666992,826.432983,761.264465,447876
2016-01-07,817.400024,820.000000,800.000000,804.200012,740.784668,615423
2016-01-08,810.000000,811.333008,783.432983,786.567017,724.542114,717252
2016-01-11,778.666992,790.000000,763.666992,783.200012,721.440613,481891
2016-01-12,790.000000,799.966980,782.666992,786.400024,724.388306,412333
2016-01-13,794.000000,794.666992,752.466980,771.867004,711.001282,706378
2016-01-14,758.466980,772.033020,740.767029,756.599976,696.938110,694014
2016-01-15,761.333008,761.333008,733.333008,737.367004,679.221741,551623
2016-01-18,737.367004,739.432983,716.932983,721.932983,665.004822,451932
2016-01-19,722.599976,753.333008,713.333008,748.466980,689.446411,512827
2016-01-20,735.932983,746.632996,718.932983,742.067017,683.551086,532308
2016-01-21,750.200012,758.599976,728.000000,734.867004,676.918945,487792
2016-01-22,742.200012,763.333008,740.200012,761.333008,701.297974,382168
2016-01-25,766.867004,772.099976,740.000000,742.567017,684.011780,389025
2016-01-27,746.466980,747.966980,732.267029,738.200012,679.989075,289614
2016-01-28,738.200012,738.200012,714.799988,718.099976,661.474121,569419
2016-01-29,714.666992,738.666992,713.367004,734.799988,676.857178,598660
2016-02-01,750.000000,772.666992,740.666992,748.099976,689.108398,707049
2016-02-02,750.666992,762.632996,740.400024,747.732971,688.770325,446620
2016-02-03,740.000000,744.232971,729.333008,738.299988,680.081177,344214
2016-02-04,750.000000,766.466980,744.666992,757.367004,697.644714,493102
2016-02-05,758.000000,767.333008,751.767029,759.767029,699.855347,362631
2016-02-08,759.333008,771.500000,747.367004,753.500000,694.082642,311707
2016-02-09,747.333008,751.732971,735.367004,742.966980,684.380188,266241
2016-02-10,739.767029,753.299988,736.267029,748.400024,689.384705,313662
2016-02-11,745.333008,749.599976,719.333008,728.200012,670.777710,516646
2016-02-12,733.333008,735.466980,677.732971,702.466980,647.073792,965448
2016-02-15,716.599976,769.799988,711.966980,766.099976,705.689026,584067
2016-02-16,772.132996,776.666992,734.067017,738.599976,680.357483,389476
2016-02-17,739.932983,755.400024,721.767029,748.099976,689.108398,483199
2016-02-18,756.666992,783.099976,755.367004,766.166992,705.750732,613317
2016-02-19,765.966980,779.132996,754.632996,767.500000,706.978638,307444
2016-02-22,769.267029,778.666992,761.400024,766.966980,706.487610,219126
2016-02-23,770.000000,771.432983,750.432983,753.400024,693.990479,265564
2016-02-24,750.000000,753.333008,740.000000,742.166992,683.643311,203431
2016-02-25,744.000000,746.799988,721.666992,724.599976,667.461487,290674
2016-02-26,731.333008,744.232971,728.666992,740.466980,682.077332,237961
2016-02-29,742.000000,749.200012,703.400024,719.500000,662.763672,701026
2016-03-01,726.666992,753.500000,720.666992,749.166992,690.091309,372774
2016-03-02,760.867004,767.132996,756.432983,758.533020,698.718750,322930
2016-03-03,763.400024,807.799988,756.666992,804.099976,740.692566,742330
2016-03-04,812.666992,816.000000,792.000000,795.833008,733.077454,383736
2016-03-08,800.000000,807.966980,782.932983,791.533020,729.116516,319027
2016-03-09,791.833008,812.966980,785.333008,808.632996,744.868042,442573
2016-03-10,810.000000,814.400024,788.400024,790.666992,728.318787,365833
2016-03-11,796.000000,800.966980,781.867004,790.533020,728.195435,279013
2016-03-14,796.666992,803.932983,785.099976,789.166992,726.937012,489939
2016-03-15,790.132996,798.000000,784.166992,787.400024,725.309448,223692
2016-03-16,792.000000,794.599976,776.333008,788.567017,726.384460,371295
2016-03-17,798.000000,803.099976,790.400024,795.867004,733.108704,409216
2016-03-18,799.333008,801.700012,793.533020,799.500000,736.455383,202800
2016-03-21,796.666992,821.299988,796.166992,818.533020,753.987366,770713
2016-03-22,823.333008,829.900024,816.333008,824.732971,759.698425,294760
2016-03-23,828.000000,832.099976,820.232971,827.833008,762.554077,264819
2016-03-28,827.333008,830.333008,799.767029,803.932983,740.538696,227023
2016-03-29,805.799988,810.067017,793.333008,795.466980,732.740234,239065
2016-03-30,803.333008,819.932983,801.367004,817.833008,753.342651,256479
2016-03-31,818.666992,819.867004,807.732971,810.799988,746.864136,288156
2016-04-01,811.000000,831.932983,808.400024,825.533020,760.435425,256129
2016-04-04,826.666992,833.232971,815.666992,823.833008,758.869446,184974
2016-04-05,822.000000,823.299988,793.333008,796.632996,733.814270,363604
2016-04-06,797.333008,810.000000,788.666992,806.367004,742.780823,278596
2016-04-07,810.000000,810.000000,784.666992,788.333008,726.168823,332101
2016-04-08,789.333008,798.000000,787.333008,793.767029,731.174316,181749
2016-04-11,796.432983,811.333008,791.599976,808.533020,744.776001,268044
2016-04-12,810.632996,823.333008,805.333008,815.033020,750.763428,277051
2016-04-13,823.333008,835.333008,820.632996,823.700012,758.747009,281223
2016-04-18,823.333008,835.333008,806.666992,832.867004,767.191101,232579
2016-04-20,837.533020,845.333008,832.666992,842.732971,776.279175,240954
2016-04-21,845.466980,849.966980,831.000000,834.432983,768.633667,179371
2016-04-22,833.400024,844.932983,828.033020,842.067017,775.665649,179755
2016-04-25,843.333008,851.299988,838.666992,843.632996,777.108154,161563
2016-04-26,840.033020,855.333008,838.666992,854.000000,786.657593,203191
2016-04-27,854.000000,858.666992,848.000000,851.533020,784.385193,133086
2016-04-28,851.867004,855.000000,836.000000,839.732971,773.515686,347035
2016-04-29,840.000000,844.400024,831.000000,835.700012,769.800720,148117
2016-05-02,832.533020,835.232971,824.500000,832.067017,766.454224,148549
2016-05-03,833.367004,854.666992,830.000000,833.900024,768.142700,331936
2016-05-04,831.132996,838.567017,827.333008,830.700012,765.195068,158293
2016-05-05,832.666992,853.333008,830.000000,848.966980,782.021545,259828
2016-05-06,846.533020,848.000000,836.666992,840.033020,773.792053,168195
2016-05-09,841.599976,864.333008,841.599976,862.900024,794.855835,286614
2016-05-10,865.267029,881.166992,859.333008,879.067017,809.747986,333295
2016-05-11,865.799988,887.932983,864.000000,882.666992,813.064087,590353
2016-05-12,880.666992,892.599976,875.700012,878.432983,809.163940,174511
2016-05-13,875.932983,876.666992,854.666992,858.099976,790.434387,230310
2016-05-16,860.000000,863.632996,846.500000,855.466980,788.008911,233064
2016-05-17,859.367004,872.500000,852.000000,862.267029,794.272766,188758
2016-05-18,859.333008,874.000000,852.000000,872.932983,804.097717,185979
2016-05-19,870.067017,872.333008,840.666992,844.666992,778.060608,296122
2016-05-20,847.367004,853.000000,836.400024,838.400024,772.287781,441661
2016-05-23,842.599976,843.599976,824.666992,827.232971,762.001404,230611
2016-05-24,828.666992,831.966980,816.000000,827.599976,762.339355,223672
2016-05-25,833.666992,864.599976,833.666992,860.867004,792.983154,414010
2016-05-26,936.000000,989.333008,926.500000,981.732971,904.318237,2534790
2016-05-27,983.333008,991.067017,968.432983,983.033020,905.515747,674233
